Date,Open,High,Low,Close
Aug 13 2021,44400.06,47886,44217.39,47800
Aug 14 2021,47799.99,48144,45971.03,47068.51
Aug 15 2021,47068.5,47372.27,45500,46973.82
Aug 16 2021,46973.82,48053.83,45660,45901.29
Aug 17 2021,45901.3,47160,44376,44695.95
Aug 18 2021,44695.95,46000,44203.28,44705.29
Aug 19 2021,44699.37,47033,43927.7,46760.62
Aug 20 2021,46760.62,49382.99,46622.99,49322.47
Aug 21 2021,49322.47,49757.04,48222,48821.87
Aug 22 2021,48821.88,49500,48050,49239.22
Aug 23 2021,49239.22,50500,49029,49488.85
Aug 24 2021,49488.85,49860,47600,47674.01
Aug 25 2021,47674.01,49264.3,47126.28,48973.32
Aug 26 2021,48973.32,49352.84,46250,46843.87
Aug 27 2021,46843.86,49149.93,46348,49069.9
Aug 28 2021,49069.9,49299,48346.88,48895.35
Aug 29 2021,48895.35,49632.27,47762.54,48767.83
